product_cat_num,product_category_name_english
0,furniture_decor
1,telephony
2,health_beauty
3,baby
4,watches_gifts
5,sports_leisure
6,fashion_shoes
7,toys
8,consoles_games
9,housewares
10,fixed_telephony
11,air_conditioning
12,auto
13,computers_accessories
14,perfumery
15,cool_stuff
16,office_furniture
17,garden_tools
18,bed_bath_table
19,fashion_male_clothing
20,industry_commerce_and_business
21,market_place
22,electronics
23,fashio_female_clothing
24,books_technical
25,pet_shop
26,fashion_bags_accessories
27,audio
28,diapers_and_hygiene
29,books_general_interest
30,food
31,furniture_bedroom
32,music
33,stationery
34,small_appliances
35,home_appliances_2
36,fashion_underwear_beach
37,agro_industry_and_commerce
38,home_comfort_2
39,kitchen_dining_laundry_garden_furniture
40,security_and_services
41,luggage_accessories
42,furniture_living_room
43,musical_instruments
44,computers
45,construction_tools_construction
46,dvds_blu_ray
47,tablets_printing_image
48,home_confort
49,costruction_tools_garden
50,home_construction
51,home_appliances
52,cine_photo
53,construction_tools_safety
54,books_imported
55,art
56,drinks
57,fashion_sport
58,food_drink
59,signaling_and_security
60,la_cuisine
61,costruction_tools_tools
62,christmas_supplies
63,furniture_mattress_and_upholstery
64,arts_and_craftmanship
65,fashion_childrens_clothes
66,small_appliances_home_oven_and_coffee
67,cds_dvds_musicals
68,construction_tools_lights
69,party_supplies
70,flowers
